"size_class","count","min_size_class","max_size_class","mp_size_class","size_width","n_s"
"(0.104,0.154]",3899232,0.104,0.154,0.129,0.05,1997.72112468235
"(0.154,0.204]",154510,0.154,0.204,0.179,0.05,79.1612017378474
"(0.204,0.254]",125884,0.204,0.254,0.229,0.05,64.4950405770965
"(0.254,0.304]",41343,0.254,0.304,0.279,0.05,21.1815517665382
"(0.304,0.354]",10649,0.304,0.354,0.329,0.05,5.45587753094516
"(0.354,0.404]",4882,0.354,0.404,0.379,0.05,2.50122960898434
"(0.404,0.454]",1975,0.404,0.454,0.429,0.05,1.01186572669891
"(0.454,0.504]",881,0.454,0.504,0.479,0.05,0.451368964669235
"(0.504,0.554]",601,0.504,0.554,0.529,0.05,0.307914583162554
"(0.554,0.604]",331,0.554,0.604,0.579,0.0499999999999999,0.169583572423969
"(0.604,0.654]",284,0.604,0.654,0.629,0.05,0.145503729813919
"(0.654,0.704]",207,0.654,0.704,0.679,0.0499999999999999,0.106053774899582
"(0.704,0.754]",169,0.704,0.754,0.729,0.05,0.086584965980818
"(0.754,0.804]",120,0.754,0.804,0.779,0.05,0.0614804492171489
"(0.804,0.854]",116,0.804,0.854,0.829,0.0499999999999999,0.0594311009099107
"(0.854,0.904]",75,0.854,0.904,0.879,0.05,0.0384252807607181
"(0.904,0.954]",69,0.904,0.954,0.929,0.0499999999999999,0.0353512582998607
"(0.954,1]",47,0.954,1,0.977,0.046,0.0261737419674456
"(1,1.05]",42,1,1.05,1.025,0.05,0.0215181572260021
"(1.05,1.1]",45,1.05,1.1,1.075,0.05,0.0230551684564308
"(1.1,1.15]",23,1.1,1.15,1.125,0.0499999999999998,0.0117837527666203
"(1.15,1.2]",23,1.15,1.2,1.175,0.05,0.0117837527666202
"(1.2,1.25]",15,1.2,1.25,1.225,0.05,0.00768505615214361
"(1.25,1.3]",17,1.25,1.3,1.275,0.05,0.00870973030576276
"(1.3,1.35]",10,1.3,1.35,1.325,0.05,0.00512337076809574
"(1.35,1.4]",14,1.35,1.4,1.375,0.0499999999999998,0.00717271907533407
"(1.4,1.45]",10,1.4,1.45,1.425,0.05,0.00512337076809574
"(1.45,1.5]",4,1.45,1.5,1.475,0.05,0.0020493483072383
"(1.5,1.55]",7,1.5,1.55,1.525,0.05,0.00358635953766702
"(1.55,1.6]",7,1.55,1.6,1.575,0.05,0.00358635953766702
"(1.6,1.65]",8,1.6,1.65,1.625,0.0499999999999998,0.00409869661447661
"(1.65,1.7]",3,1.65,1.7,1.675,0.05,0.00153701123042872
"(1.7,1.75]",7,1.7,1.75,1.725,0.05,0.00358635953766702
"(1.75,1.8]",1,1.75,1.8,1.775,0.05,0.000512337076809574
"(1.8,1.85]",2,1.8,1.85,1.825,0.05,0.00102467415361915
"(1.85,1.9]",2,1.85,1.9,1.875,0.0499999999999998,0.00102467415361915
"(1.95,2]",1,1.95,2,1.975,0.05,0.000512337076809574
"(2,2.05]",3,2,2.05,2.025,0.0499999999999998,0.00153701123042873
"(2.05,2.1]",2,2.05,2.1,2.075,0.0500000000000003,0.00102467415361914
"(2.1,2.15]",5,2.1,2.15,2.125,0.0499999999999998,0.00256168538404788
"(2.15,2.2]",1,2.15,2.2,2.175,0.0500000000000003,0.000512337076809572
"(2.2,2.25]",1,2.2,2.25,2.225,0.0499999999999998,0.000512337076809576
"(2.35,2.4]",2,2.35,2.4,2.375,0.0499999999999998,0.00102467415361915
"(2.4,2.45]",2,2.4,2.45,2.425,0.0500000000000003,0.00102467415361914
"(2.45,2.5]",1,2.45,2.5,2.475,0.0499999999999998,0.000512337076809576
"(2.65,2.7]",1,2.65,2.7,2.675,0.0500000000000003,0.000512337076809572
"(2.7,2.75]",1,2.7,2.75,2.725,0.0499999999999998,0.000512337076809576
"(2.8,2.85]",1,2.8,2.85,2.825,0.0500000000000003,0.000512337076809572
"(3,3.05]",1,3,3.05,3.025,0.0499999999999998,0.000512337076809576
"(3.2,3.25]",1,3.2,3.25,3.225,0.0499999999999998,0.000512337076809576
"(3.65,3.7]",1,3.65,3.7,3.675,0.0500000000000003,0.000512337076809572
"(3.8,3.85]",1,3.8,3.85,3.825,0.0500000000000003,0.000512337076809572
"(4.95,5]",1,4.95,5,4.975,0.0499999999999998,0.000512337076809576
"(5.15,5.2]",1,5.15,5.2,5.175,0.0499999999999998,0.000512337076809576
"(5.4,5.45]",1,5.4,5.45,5.425,0.0499999999999998,0.000512337076809576
"(6.4,6.45]",1,6.4,6.45,6.425,0.0499999999999998,0.000512337076809576
"(6.65,6.7]",1,6.65,6.7,6.675,0.0499999999999998,0.000512337076809576
