"size_class","count","min_size_class","max_size_class","mp_size_class","size_width","n_s","db","min_d","max_d","mp"
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.02490519626934,"(0,50]",0,50,25
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.512452598134673,"(0,50]",0,50,25
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.02490519626934,"(0,50]",0,50,25
"(0.254,0.304]",150,0.254,0.304,0.279,0.05,1.53735779440402,"(0,50]",0,50,25
"(0.304,0.354]",150,0.304,0.354,0.329,0.05,1.53735779440402,"(0,50]",0,50,25
"(0.354,0.404]",195,0.354,0.404,0.379,0.05,1.99856513272522,"(0,50]",0,50,25
"(0.404,0.454]",172,0.404,0.454,0.429,0.05,1.76283693758327,"(0,50]",0,50,25
"(0.454,0.504]",131,0.454,0.504,0.479,0.05,1.34262580711284,"(0,50]",0,50,25
"(0.504,0.554]",112,0.504,0.554,0.529,0.05,1.14789381982167,"(0,50]",0,50,25
"(0.554,0.604]",78,0.554,0.604,0.579,0.0499999999999999,0.79942605309009,"(0,50]",0,50,25
"(0.604,0.654]",61,0.604,0.654,0.629,0.05,0.6251921697243,"(0,50]",0,50,25
"(0.654,0.704]",43,0.654,0.704,0.679,0.0499999999999999,0.440709234395819,"(0,50]",0,50,25
"(0.704,0.754]",33,0.704,0.754,0.729,0.05,0.338218714768884,"(0,50]",0,50,25
"(0.754,0.804]",22,0.754,0.804,0.779,0.05,0.225479143179256,"(0,50]",0,50,25
"(0.804,0.854]",16,0.804,0.854,0.829,0.0499999999999999,0.163984831403095,"(0,50]",0,50,25
"(0.854,0.904]",8,0.854,0.904,0.879,0.05,0.0819924157015475,"(0,50]",0,50,25
"(0.904,0.954]",6,0.904,0.954,0.929,0.0499999999999999,0.0614943117761608,"(0,50]",0,50,25
"(0.954,1]",5,0.954,1,0.977,0.046,0.0557013693624644,"(0,50]",0,50,25
"(1,1.05]",6,1,1.05,1.025,0.05,0.0614943117761607,"(0,50]",0,50,25
"(1.05,1.1]",6,1.05,1.1,1.075,0.05,0.0614943117761607,"(0,50]",0,50,25
"(1.1,1.15]",2,1.1,1.15,1.125,0.0499999999999998,0.020498103925387,"(0,50]",0,50,25
"(1.15,1.2]",1,1.15,1.2,1.175,0.05,0.0102490519626934,"(0,50]",0,50,25
"(1.2,1.25]",1,1.2,1.25,1.225,0.05,0.0102490519626934,"(0,50]",0,50,25
"(1.25,1.3]",1,1.25,1.3,1.275,0.05,0.0102490519626934,"(0,50]",0,50,25
"(1.3,1.35]",1,1.3,1.35,1.325,0.05,0.0102490519626934,"(0,50]",0,50,25
"(1.55,1.6]",2,1.55,1.6,1.575,0.05,0.0204981039253869,"(0,50]",0,50,25
